City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
277,Adrar,MR,82.24,overcast clouds,20.5022,-10.0711,
279,Bataipora,BR,76.08,scattered clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
280,Quixada,BR,81.59,overcast clouds,-4.9714,-39.0153,Hotel Vale das Pedras
281,Katobu,ID,78.26,overcast clouds,-4.9408,122.5276,La Ode Husein
283,Sao Pedro Do Sul,BR,68.65,clear sky,-29.6206,-54.1789,Sítio Hotel e Eventos
284,Broken Hill,AU,85.82,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
285,Nishihara,JP,60.85,overcast clouds,26.1842,127.7558,Minshuku Agaihama
286,Bandarbeyla,SO,77.97,overcast clouds,9.4942,50.8122,JABIR HOTEL
288,Byron Bay,AU,75.87,moderate rain,-28.65,153.6167,Backpackers Inn
289,Chaman,PK,57.18,clear sky,30.9236,66.4512,Niamat parda Center chaman
290,Butaritari,KI,82.02,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
291,Nhamunda,BR,73.0,moderate rain,-2.1861,-56.7131,Pousada Da Praia
296,Lotofaga,WS,74.98,light rain,-13.9764,-171.8578,Sataoa Beach Fales
301,Jalu,LY,59.05,broken clouds,29.0331,21.5482,صاحبة الفخامة
303,Conde,BR,81.86,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
305,Hirara,JP,62.85,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
306,Tacoronte,ES,63.75,haze,28.4769,-16.4102,Casa Laurel
307,Bandar-E Lengeh,IR,75.31,clear sky,26.5579,54.8807,کافی نت پارس
310,Ewa Beach,US,73.35,clear sky,21.3156,-158.0072,Base Lodging
311,Parkes,AU,74.01,broken clouds,-33.1333,148.1833,Station Motel
317,Sao Joao Da Barra,BR,78.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
319,Tabuk,PH,70.93,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
320,Sungaipenuh,ID,67.1,moderate rain,-2.0833,101.3833,penginapan citra alam
323,Fethiye,TR,60.67,broken clouds,36.6217,29.1164,Club & Hotel Letoonia
325,Ponnani,IN,88.92,clear sky,10.767,75.9252,Rouba Residency
327,Villa Carlos Paz,AR,77.25,clear sky,-31.4241,-64.4978,Monte Carlo vcp
330,Port Blair,IN,80.64,haze,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
334,Bereda,ES,58.41,clear sky,43.2686,-7.5406,Pazo de Verdes
335,Mabaruma,GY,74.5,broken clouds,8.2,-59.7833,Monty Brooms Guest House
337,Lipari,IT,59.54,clear sky,38.4674,14.954,Hotel Villa Diana Soc. Clelia Hunziker s.a.s.
338,Nabire,ID,75.69,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
341,Oistins,BB,78.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
342,Progreso,MX,60.12,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
343,Camana,PE,69.85,broken clouds,-16.6228,-72.7111,Hostal Morales
344,Sao Filipe,CV,71.01,overcast clouds,14.8961,-24.4956,Hotel Xaguate
346,Kavaratti,IN,82.06,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
349,Nouadhibou,MR,67.98,haze,20.931,-17.0347,El Medina
350,Taltal,CL,64.45,broken clouds,-25.4,-70.4833,Residencial Karime
