City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Matara,LK,2022-01-29 20:48:47,5.9485,80.5353,77.2,87,94,6.13
156,Port Lincoln,AU,2022-01-29 20:49:59,-34.7333,135.8667,65.14,88,32,12.95
157,Sur,OM,2022-01-29 20:50:03,22.5667,59.5289,71.15,54,3,5.46
158,Victoria,HK,2022-01-29 20:48:03,22.2855,114.1577,60.24,86,100,1.01
159,Olinda,BR,2022-01-29 20:49:13,-8.0089,-34.8553,80.33,78,75,5.75
160,Muskegon,US,2022-01-29 20:50:04,43.3,-86.1334,24.8,60,100,4.61
161,Tupi Paulista,BR,2022-01-29 20:50:04,-21.3811,-51.5706,74.75,85,90,7.61
162,Mocuba,MZ,2022-01-29 20:45:30,-16.8392,36.9856,71.69,98,9,2.77
163,The Pas,CA,2022-01-29 20:50:04,53.8251,-101.2541,5.02,72,75,4.61
164,Koutiala,ML,2022-01-29 20:50:05,12.3917,-5.4642,80.71,13,49,9.1
165,Kahului,US,2022-01-29 20:50:05,20.8947,-156.47,80.62,56,20,10.36
166,Tomakivka,UA,2022-01-29 20:50:06,47.8157,34.7414,33.15,89,99,12.06
167,Kaili,ID,2022-01-29 20:50:06,-3.4626,120.2147,67.57,86,100,2.75
168,Karacakoy,TR,2022-01-29 20:50:07,41.4029,28.3834,39.24,84,77,5.39
169,Marrakesh,MA,2022-01-29 20:50:07,31.6315,-8.0083,62.67,36,1,2.3
170,Willmar,US,2022-01-29 20:50:08,45.1219,-95.0433,31.68,68,98,25.32
171,Yellowknife,CA,2022-01-29 20:50:08,62.456,-114.3525,-4.59,83,100,5.75
172,Pierre,US,2022-01-29 20:50:09,44.3683,-100.351,50.92,30,0,1.99
173,Marinette,US,2022-01-29 20:50:09,45.1,-87.6307,20.16,67,100,8.05
174,Arauca,CO,2022-01-29 20:50:10,7.0847,-70.7591,93.2,46,40,6.91
175,Longyearbyen,SJ,2022-01-29 20:50:10,78.2186,15.6401,8.44,66,0,14.97
176,Ulaangom,MN,2022-01-29 20:50:11,49.9811,92.0667,-23.15,92,98,3.44
177,Pitmoaga,BF,2022-01-29 20:50:11,12.2397,-1.8767,76.62,15,9,10.51
178,Cidreira,BR,2022-01-29 20:46:50,-30.1811,-50.2056,73.67,58,56,12.64
179,Awjilah,LY,2022-01-29 20:50:12,29.1081,21.2869,52.52,38,0,11.72
180,Coquimbo,CL,2022-01-29 20:50:12,-29.9533,-71.3436,67.73,68,20,13.8
181,Aleksandrovsk-Sakhalinskiy,RU,2022-01-29 20:50:13,50.8975,142.1561,-9.51,99,100,1.41
182,Grindavik,IS,2022-01-29 20:50:13,63.8424,-22.4338,36.07,80,75,16.11
183,Sinop,TR,2022-01-29 20:46:11,41.7711,34.8709,25.47,83,95,7.58
184,Talnakh,RU,2022-01-29 20:50:14,69.4865,88.3972,-0.89,97,100,9.53
185,Mamit,IN,2022-01-29 20:50:14,23.9333,92.4833,41.29,76,0,2.59
186,Obo,CF,2022-01-29 20:51:15,5.3998,26.4869,69.89,22,6,5.48
187,Dhidhdhoo,MV,2022-01-29 20:51:15,6.8833,73.1,81.97,75,75,19.26
188,Mildura,AU,2022-01-29 20:51:15,-34.2,142.15,67.96,77,0,8.05
189,Pasco,US,2022-01-29 20:51:16,28.292,-82.4165,52.25,48,0,7.0
190,Saskylakh,RU,2022-01-29 20:51:16,71.9167,114.0833,-21.84,100,99,3.44
